Actual Time (ms),Billed Time (ms)
839,933
67,87
59,80
73,94
37,47
61,63
54,69
48,65
58,70
74,98
59,64
76,97
52,73
64,88
44,65
65,79
52,65
46,67
134,155
64,70
64,85
69,86
110,130
47,67
41,62
63,85
47,68
75,100
54,72
54,75
219,342
261,400
49,67
41,63
54,74
36,44
70,80
59,80
77,98
59,97
59,81
76,97
44,52
76,91
64,78
81,99
59,80
55,67
95,116
57,78
63,83
46,50
67,89
60,68
153,175
76,97
85,106
49,69
44,69
65,106
51,72
72,94
54,61
78,98
45,57
89,110
45,72
74,83
57,76
60,85
59,80
70,91
73,94
51,78
46,81
65,86
82,103
61,82
41,69
64,66
53,56
67,70
64,96
42,63
87,168
130,152
49,69
27,43
51,78
34,47
69,77
68,70
43,84
61,102
40,48
43,64
100,155
52,69
48,50
61,79
45,178
