Actual Time (ms),Billed Time (ms)
782,979
82,105
63,82
96,115
59,61
88,103
82,106
51,63
42,47
88,98
65,79
60,79
56,59
43,45
42,46
44,66
53,74
65,69
46,50
85,163
68,80
88,99
82,115
54,76
55,76
70,90
43,64
55,75
70,74
78,99
59,64
49,70
56,64
66,76
79,90
72,81
70,87
95,101
73,91
61,83
73,74
55,68
50,72
72,93
219,408
120,406
83,98
63,74
65,80
65,84
64,66
61,96
36,49
78,80
100,152
55,57
76,77
70,82
41,62
89,110
120,139
50,52
97,119
90,110
63,84
45,48
48,68
135,151
90,106
71,75
62,86
46,51
53,84
51,79
47,83
74,94
70,91
60,79
48,107
72,75
60,92
72,74
45,66
70,72
90,151
85,125
49,59
73,76
68,69
68,79
63,65
63,84
70,131
91,130
45,164
60,81
99,157
77,98
50,63
73,90
44,65
