Time at which request was sent,Total Time taken (Kharagpur) (ms),Billed Time for outerFunction(ms),Actual Time for innerFunction(ms),Billed Time for innerFunction(ms)
2019-11-08 18:02:51.059237,1877,1375,81,7
2019-11-08 18:02:52.936925,2178,91,66,1
2019-11-08 18:02:55.115195,1566,53,52,1
2019-11-08 18:02:56.681750,1643,72,71,1
2019-11-08 18:02:58.325193,1891,64,64,1
2019-11-08 18:03:00.216242,2919,76,86,1
2019-11-08 18:03:03.135327,1343,77,81,1
2019-11-08 18:03:04.478760,1891,80,63,1
2019-11-08 18:03:06.369773,1547,82,85,1
2019-11-08 18:03:07.916673,3512,69,79,1
2019-11-08 18:03:11.428409,2362,65,67,1
2019-11-08 18:03:13.790566,1658,71,83,1
2019-11-08 18:03:15.448877,2408,83,60,1
2019-11-08 18:03:17.857435,1255,69,76,1
2019-11-08 18:03:19.112194,1464,102,52,1
2019-11-08 18:03:20.576317,4180,65,96,1
2019-11-08 18:03:24.756204,1764,68,62,1
2019-11-08 18:03:26.520716,1484,72,81,1
2019-11-08 18:03:28.005073,3127,180,79,1
2019-11-08 18:03:31.131813,2281,80,55,1
2019-11-08 18:03:33.412517,1484,71,187,1
2019-11-08 18:03:34.897047,1239,68,63,1
2019-11-08 18:03:36.136498,1461,80,71,1
2019-11-08 18:03:37.598129,1466,53,60,1
2019-11-08 18:03:39.064033,1244,145,74,1
2019-11-08 18:03:40.308448,2301,65,64,1
2019-11-08 18:03:42.609266,2827,74,97,1
2019-11-08 18:03:45.436818,1880,70,62,1
2019-11-08 18:03:47.317197,1306,64,44,1
2019-11-08 18:03:48.623428,2778,118,66,1
2019-11-08 18:03:51.401575,2174,83,65,1
2019-11-08 18:03:53.576095,1460,68,97,1
2019-11-08 18:03:55.035825,1787,66,80,1
2019-11-08 18:03:56.822909,3941,57,118,1
2019-11-08 18:04:00.763579,1687,72,78,1
2019-11-08 18:04:02.450279,1672,101,46,1
2019-11-08 18:04:04.122901,1661,83,71,1
2019-11-08 18:04:05.784173,1770,81,62,1
2019-11-08 18:04:07.553875,1565,87,60,1
2019-11-08 18:04:09.118804,1357,244,46,1
2019-11-08 18:04:10.475860,3346,103,82,1
2019-11-08 18:04:13.821765,3242,76,55,1
2019-11-08 18:04:17.063856,2437,60,84,1
2019-11-08 18:04:19.500809,1641,82,90,1
2019-11-08 18:04:21.142035,2409,73,79,1
2019-11-08 18:04:23.551366,1888,69,53,1
2019-11-08 18:04:25.439792,1558,83,79,1
2019-11-08 18:04:26.997444,1325,83,47,1
2019-11-08 18:04:28.322981,1217,109,77,25
2019-11-08 18:04:29.539831,1657,63,64,1
2019-11-08 18:04:31.196495,1540,74,46,1
2019-11-08 18:04:32.736967,5958,89,66,1
2019-11-08 18:04:38.694758,1215,75,79,1
2019-11-08 18:04:39.909463,4327,355,65,1
2019-11-08 18:04:44.236371,4235,436,78,1
2019-11-08 18:04:48.471814,1739,80,82,1
2019-11-08 18:04:50.210718,1605,68,80,1
2019-11-08 18:04:51.816245,2881,85,70,1
