Inner Function Billed (ms), Function call (ms), Outer Function Billed (ms)
113,549,941
41,506,676
34,87,106
17,84,99
20,90,130
18,66,82
16,73,89
19,77,93
3,69,72
13,96,112
35,73,75
14,83,99
12,78,93
53,73,106
14,75,87
13,55,90
15,65,80
13,86,100
15,59,73
12,88,123
8,202,217
1,103,119
15,61,77
17,71,87
13,126,141
14,53,69
14,73,88
14,50,65
13,83,98
13,85,102
16,80,96
13,66,101
9,54,70
54,80,95
21,123,138
16,113,373
10,95,111
18,160,389
17,91,107
13,123,196
36,136,151
10,85,87
4,70,121
14,88,103
14,59,86
13,54,68
14,81,96
10,63,93
1,66,82
53,93,95
10,83,99
10,58,67
7,82,118
3,57,72
10,70,81
29,72,87
9,83,98
7,80,102
6,37,45
6,71,90
7,77,91
9,80,96
9,59,115
10,77,93
2,86,118
35,75,91
21,65,81
9,89,123
14,79,95
8,73,95
11,75,77
