Actual Time (ms),Billed Time (ms)
93,1053
95,107
26,46
42,66
37,48
51,75
51,43
73,64
54,67
62,50
55,66
56,73
51,62
63,63
41,59
64,45
58,44
35,70
54,186
74,79
66,83
54,57
72,56
56,63
61,82
86,76
75,79
79,67
54,94
47,77
51,82
205,78
155,97
58,97
56,66
62,66
49,85
63,72
60,62
53,112
51,115
32,62
46,89
55,133
65,62
58,53
47,98
39,72
50,74
56,88
44,78
38,488
46,377
64,49
73,139
28,48
36,51
53,70
66,80
43,59
52,87
59,48
42,71
45,74
68,85
49,45
43,92
56,63
45,48
45,151
47,116
28,62
58,48
55,63
42,79
22,63
53,85
61,66
56,90
55,96
61,77
38,56
65,68
68,48
65,126
45,79
39,44
35,59
96,135
106,74
77,60
41,94
40,72
54,111
70,113
40,97
54,127
53,71
163,68
78,112
47,228
