Actual Time (ms),Billed Time (ms)
540,773
73,99
54,57
43,64
46,47
41,62
58,66
59,80
49,66
57,78
48,51
69,74
61,80
47,51
83,111
47,57
42,49
58,79
102,124
51,79
72,91
48,51
72,78
72,76
86,88
71,92
140,324
48,52
220,331
116,134
43,71
41,47
57,66
36,63
48,76
54,56
47,56
52,79
55,59
58,79
53,80
52,74
23,44
46,87
39,66
44,69
78,120
52,56
58,79
56,77
52,59
49,70
84,109
54,74
100,134
48,68
39,44
54,76
60,92
78,118
72,93
40,62
53,55
63,84
92,98
58,87
40,47
42,49
51,72
45,72
52,73
53,60
68,74
70,95
42,66
39,65
47,51
61,83
39,66
44,65
49,71
39,70
69,91
44,48
82,164
66,69
53,56
58,81
60,81
37,74
50,56
54,79
46,67
47,90
50,186
74,78
100,104
56,86
36,43
75,135
65,86
