Actual Time (ms),Billed Time (ms)
559,772
95,116
53,73
55,57
51,74
49,59
37,50
46,51
30,42
47,73
51,72
52,73
47,72
62,73
320,415
49,77
67,72
61,92
45,52
91,113
66,93
62,71
47,54
51,72
44,52
65,91
59,89
69,91
61,69
39,52
69,91
47,69
54,75
52,93
51,72
42,73
52,74
36,69
85,94
73,114
60,69
44,51
47,75
51,55
73,114
61,89
260,391
42,68
53,91
39,48
44,72
52,93
57,97
46,53
106,128
47,68
42,54
47,88
66,76
49,56
53,73
53,70
57,79
43,48
48,70
54,73
50,72
45,66
47,78
42,52
66,75
50,72
64,75
65,114
51,76
69,90
40,72
44,54
55,75
40,51
44,52
38,49
63,72
36,48
101,175
131,151
39,70
42,52
75,96
43,53
54,75
61,89
40,52
70,93
87,95
65,75
71,92
37,48
42,70
44,93
55,77
