Actual Time (ms),Billed Time (ms)
701,855
92,113
60,70
43,49
50,72
50,51
52,73
46,72
43,62
38,71
58,89
42,69
66,75
55,75
45,51
65,74
45,52
52,55
57,77
51,172
49,73
76,95
55,56
58,73
41,47
47,57
84,105
59,66
73,95
64,73
58,79
51,92
47,68
49,51
48,50
50,70
47,49
44,66
41,68
67,88
37,51
47,68
68,75
54,75
57,72
71,76
40,72
42,50
47,52
76,97
53,56
50,71
51,72
51,73
133,173
56,73
97,119
59,90
63,91
80,91
54,75
51,65
54,75
44,54
77,98
55,75
56,77
59,69
42,49
49,70
49,60
46,48
53,74
66,70
47,77
44,49
47,53
53,74
49,90
56,73
77,98
47,69
51,54
41,73
76,97
133,154
51,53
52,73
40,55
42,51
55,76
66,88
41,51
58,88
50,71
37,39
88,99
74,105
49,70
35,52
54,75
