Actual Time (ms),Billed Time (ms)
579,781
71,101
48,73
68,74
49,66
69,74
46,71
52,73
44,48
46,55
47,52
50,71
44,54
50,53
43,71
42,54
43,72
46,55
130,151
74,95
50,72
51,72
40,52
38,53
39,53
48,52
49,73
67,74
54,75
45,72
15,25
44,71
62,74
49,70
34,52
43,73
52,53
47,74
67,74
50,103
71,92
72,113
66,74
57,93
48,72
49,57
52,73
55,76
44,53
40,73
47,51
55,76
45,52
51,73
81,153
50,75
42,54
56,74
48,74
43,72
49,70
50,71
42,56
55,76
46,72
46,75
46,52
55,73
39,215
44,52
17,50
46,56
42,52
54,75
55,91
39,55
52,72
53,55
36,71
53,74
45,49
54,74
39,66
43,73
74,95
42,49
38,53
27,43
65,75
39,54
50,53
75,96
48,69
72,96
110,132
63,74
80,92
75,135
189,232
73,134
55,70
