Actual Time (ms),Billed Time (ms)
700,880
71,97
69,75
70,91
70,91
48,68
42,52
38,49
43,74
44,48
50,71
40,48
58,74
44,51
43,72
53,70
63,70
38,65
42,73
50,71
124,132
51,72
62,72
51,68
41,71
34,51
43,52
64,70
64,69
65,74
59,66
53,69
66,75
67,89
53,73
52,71
51,56
49,71
42,71
63,68
46,73
64,71
48,68
44,70
65,70
55,72
45,52
55,76
50,70
41,74
50,71
54,70
69,90
60,88
120,170
50,71
54,75
40,52
49,70
73,94
49,72
46,53
64,71
63,70
45,74
44,53
48,53
50,52
52,69
31,48
112,133
38,50
50,76
34,52
43,69
49,52
53,75
60,71
55,96
45,72
34,51
45,75
66,76
43,64
76,152
127,134
35,50
57,68
56,74
35,52
50,52
38,54
39,55
78,114
58,75
47,73
79,97
35,52
48,79
44,60
36,53
