Actual Time (ms),Billed Time (ms)
523,796
64,84
44,53
64,75
42,63
48,54
49,76
46,48
438,560
60,71
57,85
52,59
53,94
52,79
46,68
34,44
48,59
59,80
95,116
45,66
43,60
64,79
50,55
52,63
73,95
213,337
42,52
41,62
72,98
41,46
71,74
64,85
55,76
42,46
53,56
49,71
52,82
69,77
58,72
48,100
44,65
37,68
45,67
61,90
63,84
48,70
40,61
43,55
46,68
99,120
74,78
65,87
43,70
48,60
74,148
53,65
65,87
63,74
50,78
49,56
63,85
63,89
61,82
53,75
43,65
47,60
91,103
46,52
59,80
47,56
65,86
40,62
54,61
54,81
58,99
41,48
40,74
41,45
92,116
140,182
62,74
52,57
60,67
42,63
119,171
56,60
59,80
66,87
52,82
57,79
72,75
42,60
54,75
60,87
113,142
53,74
84,105
41,46
48,69
34,85
38,52
