Actual Time (ms),Billed Time (ms)
502,706
76,103
50,56
62,78
62,80
77,98
59,80
69,91
39,60
60,78
57,77
65,90
61,83
67,74
45,52
37,47
320,515
65,83
60,78
56,77
56,74
79,100
51,78
72,78
48,69
256,420
72,79
59,79
40,42
59,62
64,75
72,92
55,64
47,61
63,71
40,67
43,59
75,96
49,53
52,54
66,75
60,90
39,67
86,108
49,53
49,56
47,54
62,71
58,80
45,74
40,62
51,72
55,77
56,77
131,156
43,52
68,74
103,104
41,48
87,91
74,95
59,80
76,97
61,82
48,58
58,93
58,65
51,59
74,95
72,79
77,79
46,86
42,50
52,61
50,76
55,76
57,78
68,100
68,97
43,64
54,61
35,62
67,77
80,101
84,154
107,116
53,74
69,90
56,77
80,118
60,65
45,52
68,92
65,105
97,198
79,100
89,114
73,78
38,48
46,68
49,58
