Actual Time (ms),Billed Time (ms)
700,956
73,94
47,50
69,110
56,85
46,62
61,69
51,70
33,46
48,69
31,45
43,53
72,93
40,67
54,76
57,70
58,74
46,67
146,168
48,79
58,87
52,60
49,75
44,52
123,132
72,98
35,46
51,73
69,91
100,121
68,81
57,69
53,74
52,70
45,77
44,85
40,64
57,78
71,93
62,118
56,76
54,74
76,97
37,43
69,110
42,66
40,49
45,67
260,381
160,517
78,81
42,64
41,49
42,63
90,147
48,98
67,88
39,49
57,64
51,72
74,95
57,98
59,80
48,61
43,44
50,82
41,62
75,96
41,48
54,76
45,53
56,79
38,43
60,109
28,61
31,47
40,61
44,46
37,65
72,78
68,74
35,43
52,73
51,53
94,158
181,242
72,74
43,53
48,69
41,50
73,75
36,64
47,51
59,100
78,113
56,63
91,112
48,69
58,88
51,72
44,52
