Actual Time (ms),Billed Time (ms)
578,780
86,127
50,72
53,62
43,52
51,70
52,73
69,78
57,60
57,78
73,99
46,68
50,67
70,96
61,71
415,538
44,56
36,45
42,51
47,56
55,65
64,66
48,76
55,67
240,347
51,87
35,62
43,53
56,87
37,48
78,100
71,78
56,78
62,83
51,58
60,70
70,80
39,46
54,75
47,57
61,79
44,65
61,72
40,82
64,86
52,73
64,86
61,95
62,83
40,49
14,23
47,68
40,49
72,94
100,143
42,49
39,45
52,80
42,48
126,147
52,59
46,67
47,78
51,60
44,65
66,72
51,63
69,90
41,63
46,53
43,56
60,87
48,53
40,43
63,92
44,62
70,111
46,68
47,68
44,65
40,66
57,87
48,69
68,95
62,143
47,108
57,61
37,51
85,106
50,53
59,80
36,45
60,83
72,113
77,98
52,61
92,99
56,65
49,78
67,77
80,101
