Actual Time (ms),Billed Time (ms)
621,774
61,82
48,54
40,46
32,47
53,74
41,62
51,72
54,59
39,49
44,51
41,62
47,67
44,65
44,65
46,66
40,51
66,74
137,158
53,59
61,67
67,78
60,81
50,60
78,84
38,45
56,59
53,60
73,95
60,68
51,84
41,82
55,76
73,94
39,49
77,98
43,53
42,53
38,44
78,99
46,48
72,92
66,94
52,60
38,48
54,66
42,63
66,87
54,75
45,53
52,77
46,67
37,46
68,77
111,122
38,49
43,64
40,62
47,57
109,119
67,88
47,68
60,81
45,66
55,76
58,99
39,46
40,61
37,47
41,62
52,62
60,71
60,87
37,43
52,79
78,99
73,83
35,46
45,85
53,55
44,65
47,68
79,85
42,45
58,125
81,122
51,56
52,58
91,112
37,54
42,63
56,83
42,48
86,146
42,182
41,57
99,120
49,56
44,51
74,95
90,115
