Actual Time (ms),Billed Time (ms)
579,694
73,101
42,66
52,74
45,68
37,67
59,70
52,76
50,57
62,83
58,79
54,76
55,76
47,57
56,80
40,46
46,70
55,60
140,167
34,44
59,86
81,90
29,51
99,131
69,91
43,55
61,70
53,61
37,45
90,99
22,43
54,76
47,55
65,87
41,50
74,95
42,64
52,73
48,56
46,111
38,74
57,65
45,48
53,78
62,81
40,62
49,71
66,88
51,60
53,57
51,60
35,54
52,73
59,68
121,154
62,81
45,66
52,60
52,58
96,118
42,64
57,74
41,63
54,70
64,71
47,69
29,46
43,48
61,82
56,60
47,78
75,79
33,45
46,67
53,80
49,60
57,78
61,84
62,81
57,124
92,98
55,61
61,82
76,78
76,157
103,132
43,66
64,86
42,48
76,79
40,62
54,60
56,79
55,85
52,56
56,80
92,114
72,99
44,48
53,58
29,44
