Actual Time (ms),Billed Time (ms)
780,1021
77,82
53,56
52,73
71,75
45,47
48,61
49,69
42,47
52,72
55,73
47,49
54,57
54,72
55,75
51,53
59,82
46,55
53,56
47,53
141,145
50,72
45,54
49,72
89,110
49,70
35,43
63,79
69,75
54,59
78,116
40,44
48,67
45,48
45,67
46,70
57,78
59,63
55,62
56,77
37,61
36,45
66,89
50,91
50,72
56,77
42,57
58,99
48,69
74,78
69,72
41,75
59,61
77,98
81,173
42,63
57,59
52,55
45,52
91,133
86,126
75,78
57,60
64,84
56,61
59,62
55,73
68,73
28,44
54,75
54,57
64,67
45,57
40,47
42,82
41,52
67,74
90,110
41,62
64,75
33,45
51,74
55,76
67,88
62,124
98,190
51,74
54,75
46,66
57,66
67,71
47,68
43,63
75,115
41,61
49,53
79,100
41,62
74,94
50,75
28,63
